Wavelength (nm),Abs mTurquoise2,Em mTurquoise2,Abs SYFP2,Em SYFP2
625,,0.019,0,0.041
626,,0.0184,0,0.039
627,,0.0182,0,0.038
628,,0.0178,0,0.037
629,,0.0171,0,0.036
630,,0.0165,0,0.035
631,,0.016,0,0.034
632,,0.0158,0,0.033
633,,0.0156,0,0.032
634,,0.0151,0,0.031
635,,0.0147,0,0.03
636,,0.0144,0,0.029
637,,0.014,0,0.028
638,,0.0139,0,0.027
639,,0.0134,0,0.026
640,,0.0133,0,0.025
641,,0.0131,0,0.025
642,,0.0126,0,0.024
643,,0.0124,0,0.023
644,,0.0122,0,0.022
645,,0.0121,0,0.022
646,,0.0121,0,0.021
647,,0.0116,0,0.02
648,,0.0115,0,0.02
649,,0.011,0,0.019
650,,0.0108,0,0.018
,,,0,0.018
,,,0,0.017
,,,0,0.017
,,,0,0.016
,,,0,0.016
,,,0,0.015
,,,0,0.015
,,,0,0.014
,,,0,0.014
,,,0,0.014
,,,0,0.013
,,,0,0.013
,,,0,0.013
,,,0,0.012
,,,0,0.012
,,,0,0.012
,,,0,0.011
,,,0,0.011
,,,0,0.011
,,,0,0.011
,,,0,0.01
,,,0,0.01
,,,0,0.01
,,,0,0.01
,,,0,0.009
,,,0,0.009
,,,0,0.009
,,,0,0.009
,,,0,0.008
,,,0,0.009
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.007
,,,0,0.007
,,,0,0.008
,,,0,0.007
,,,0,0.007
,,,0,0.007
,,,0,0.007
,,,0,0.006
,,,0,0.007
,,,0,0.006
,,,0,0.006
,,,0,0.006
,,,0,0.006
,,,0,0.006
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
